state,Asian,Black,Hispanic,Native American,Other,White,Total,NA,full_state
AK,0,1,0,5,0,2,8,5,Alaska
AL,0,11,1,0,0,16,28,0,Alabama
AR,0,7,0,0,0,5,12,0,Arkansas
AZ,0,4,6,0,1,14,25,0,Arizona
CA,6,62,63,2,1,83,217,2,California
CO,0,2,2,0,0,7,11,0,Colorado
CT,0,13,2,0,1,3,19,0,Connecticut
DC,0,15,2,0,0,6,23,0,District of Columbia
DE,0,3,0,0,0,0,3,0,Delaware
FL,0,33,6,0,1,40,80,0,Florida
GA,0,20,1,0,0,18,39,0,Georgia
HI,0,1,0,0,2,1,4,0,Hawaii
IA,0,5,0,0,0,11,16,0,Iowa
ID,0,0,1,1,0,4,6,1,Idaho
IL,1,254,44,0,0,37,336,0,Illinois
IN,0,16,0,0,0,22,38,0,Indiana
KS,0,5,0,0,0,13,18,0,Kansas
KY,0,6,1,0,0,16,23,0,Kentucky
LA,0,54,1,0,0,11,66,0,Louisiana
MA,1,27,9,1,1,37,76,1,Massachusetts
MD,4,32,0,0,0,8,44,0,Maryland
ME,0,0,0,0,0,4,4,0,Maine
MI,0,70,1,0,4,45,120,0,Michigan
MN,1,6,0,1,0,10,18,1,Minnesota
MO,0,28,1,0,0,24,53,0,Missouri
MS,0,17,0,0,0,5,22,0,Mississippi
MT,0,1,0,0,0,14,15,0,Montana
NC,0,49,2,0,0,14,65,0,North Carolina
ND,0,0,2,0,0,3,5,0,North Dakota
NE,0,0,1,0,0,8,9,0,Nebraska
NH,0,0,0,0,0,2,2,0,New Hampshire
NJ,0,29,5,0,0,8,42,0,New Jersey
NM,0,1,3,0,0,7,11,0,New Mexico
NV,0,10,1,0,0,10,21,0,Nevada
NY,5,155,59,1,2,76,298,1,New York
OH,0,50,1,0,0,34,85,0,Ohio
OK,0,16,0,3,0,19,38,3,Oklahoma
OR,0,2,1,0,0,18,21,0,Oregon
PA,2,54,4,0,0,35,95,0,Pennsylvania
RI,0,0,2,0,0,2,4,0,Rhode Island
SC,0,6,0,0,0,2,8,0,South Carolina
SD,0,1,1,0,0,4,6,0,South Dakota
TN,1,10,0,0,0,18,29,0,Tennessee
TX,7,178,75,0,1,128,389,0,Texas
UT,0,2,1,0,0,15,18,0,Utah
VA,0,29,1,0,0,27,57,0,Virginia
VT,0,0,0,0,0,3,3,0,Vermont
WA,0,10,2,3,1,36,52,3,Washington
WI,0,25,2,2,0,33,62,2,Wisconsin
WV,0,3,0,0,0,8,11,0,West Virginia
WY,0,1,0,0,0,3,4,0,Wyoming